aluno_id,lat,lon
aluno_001,-31.339436,-54.10841
aluno_002,-31.348222,-54.119481
aluno_003,-31.319242,-54.117389
aluno_004,-31.337638,-54.083644
aluno_005,-31.34807,-54.123175
aluno_006,-31.338461,-54.100286
aluno_007,-31.318047,-54.080553
aluno_008,-31.320209,-54.122102
aluno_009,-31.335176,-54.104225
aluno_010,-31.33758,-54.110899
aluno_011,-31.348268,-54.118426
aluno_012,-31.318343,-54.105857
aluno_013,-31.316973,-54.086325
aluno_014,-31.335997,-54.100943
aluno_015,-31.327095,-54.089019
aluno_016,-31.345093,-54.084113
aluno_017,-31.319933,-54.116667
aluno_018,-31.346769,-54.108303
aluno_019,-31.344693,-54.123022
aluno_020,-31.343956,-54.091152
aluno_021,-31.316384,-54.114493
aluno_022,-31.311865,-54.118875
aluno_023,-31.348505,-54.085978
aluno_024,-31.33999,-54.118665
aluno_025,-31.342859,-54.083528
aluno_026,-31.336903,-54.110446
aluno_027,-31.318951,-54.111519
aluno_028,-31.332689,-54.097593
aluno_029,-31.331839,-54.116109
aluno_030,-31.343981,-54.129273
aluno_031,-31.334801,-54.095693
aluno_032,-31.315861,-54.080377
aluno_033,-31.31629,-54.094637
aluno_034,-31.327981,-54.124559
aluno_035,-31.349137,-54.110473
aluno_036,-31.327489,-54.115492
aluno_037,-31.346205,-54.082894
aluno_038,-31.311082,-54.113389
aluno_039,-31.341676,-54.111191
aluno_040,-31.318163,-54.097962
aluno_041,-31.324787,-54.088998
aluno_042,-31.314326,-54.082502
aluno_043,-31.318,-54.083047
aluno_044,-31.32253,-54.093436
aluno_045,-31.344529,-54.107961
aluno_046,-31.320909,-54.097221
aluno_047,-31.346021,-54.087893
aluno_048,-31.349612,-54.123888
aluno_049,-31.340003,-54.110053
aluno_050,-31.310877,-54.093134
aluno_051,-31.333844,-54.116765
aluno_052,-31.310736,-54.128725
aluno_053,-31.321771,-54.097516
aluno_054,-31.311759,-54.122706
aluno_055,-31.319019,-54.126757
aluno_056,-31.338163,-54.098415
aluno_057,-31.31432,-54.085816
aluno_058,-31.34239,-54.10936
aluno_059,-31.340168,-54.104594
aluno_060,-31.311377,-54.112188
aluno_061,-31.336362,-54.09391
aluno_062,-31.324803,-54.086388
aluno_063,-31.342719,-54.103051
aluno_064,-31.323346,-54.081545
aluno_065,-31.337638,-54.088755
aluno_066,-31.345207,-54.090412
aluno_067,-31.326544,-54.12645
aluno_068,-31.345796,-54.101797
aluno_069,-31.327418,-54.112354
aluno_070,-31.333015,-54.128941
aluno_071,-31.3451,-54.09271
aluno_072,-31.322642,-54.098177
aluno_073,-31.337475,-54.111996
aluno_074,-31.330731,-54.088418
aluno_075,-31.340921,-54.128985
aluno_076,-31.349842,-54.123366
aluno_077,-31.319684,-54.124611
aluno_078,-31.337372,-54.098704
aluno_079,-31.340823,-54.118065
aluno_080,-31.316775,-54.097989
aluno_081,-31.340403,-54.115036
aluno_082,-31.334448,-54.093041
aluno_083,-31.328252,-54.109175
aluno_084,-31.331825,-54.128539
aluno_085,-31.333067,-54.09937
aluno_086,-31.323368,-54.125022
aluno_087,-31.315603,-54.095857
aluno_088,-31.314866,-54.123327
aluno_089,-31.316428,-54.115335
aluno_090,-31.336181,-54.125386
aluno_091,-31.322716,-54.106338
aluno_092,-31.32977,-54.100852
aluno_093,-31.31191,-54.115246
aluno_094,-31.32162,-54.082477
aluno_095,-31.326507,-54.120343
aluno_096,-31.343624,-54.086827
aluno_097,-31.325201,-54.122281
aluno_098,-31.323963,-54.090994
aluno_099,-31.312221,-54.110082
aluno_100,-31.346031,-54.117066
aluno_101,-31.322203,-54.110413
aluno_102,-31.321281,-54.101534
aluno_103,-31.340775,-54.100976
aluno_104,-31.344712,-54.109183
aluno_105,-31.323051,-54.125205
aluno_106,-31.327386,-54.087212
aluno_107,-31.330133,-54.092297
aluno_108,-31.345387,-54.114331
aluno_109,-31.318513,-54.082005
aluno_110,-31.326276,-54.12079
aluno_111,-31.340212,-54.105213
aluno_112,-31.321811,-54.08566
aluno_113,-31.31159,-54.085718
aluno_114,-31.33981,-54.097131
aluno_115,-31.3202,-54.106798
aluno_116,-31.340119,-54.120055
aluno_117,-31.340866,-54.122722
aluno_118,-31.320668,-54.095982
aluno_119,-31.311206,-54.112316
aluno_120,-31.331381,-54.117411
aluno_121,-31.314172,-54.081891
aluno_122,-31.329635,-54.129923
aluno_123,-31.335614,-54.12513
aluno_124,-31.337604,-54.087967
aluno_125,-31.324202,-54.090992
aluno_126,-31.337342,-54.103903
aluno_127,-31.330016,-54.097815
aluno_128,-31.322252,-54.129545
aluno_129,-31.337666,-54.11286
aluno_130,-31.31437,-54.125955
aluno_131,-31.337699,-54.099285
aluno_132,-31.323514,-54.120097
aluno_133,-31.335795,-54.08875
aluno_134,-31.313615,-54.109692
aluno_135,-31.339276,-54.125395
aluno_136,-31.323311,-54.086554
aluno_137,-31.323508,-54.101893
aluno_138,-31.339068,-54.086418
aluno_139,-31.323002,-54.122155
aluno_140,-31.337885,-54.114387
aluno_141,-31.3229,-54.094193
aluno_142,-31.349693,-54.10368
aluno_143,-31.330831,-54.08021
aluno_144,-31.339668,-54.103389
aluno_145,-31.344945,-54.113211
aluno_146,-31.336217,-54.111595
aluno_147,-31.345735,-54.126968
aluno_148,-31.331813,-54.119568
aluno_149,-31.345689,-54.102801
aluno_150,-31.311991,-54.081835
aluno_151,-31.312749,-54.127024
aluno_152,-31.311195,-54.110692
aluno_153,-31.344849,-54.090912
aluno_154,-31.32961,-54.112282
aluno_155,-31.315861,-54.086379
aluno_156,-31.335324,-54.103246
aluno_157,-31.33766,-54.1032
aluno_158,-31.340845,-54.082021
aluno_159,-31.323471,-54.093747
aluno_160,-31.338204,-54.101135
aluno_161,-31.341945,-54.122331
aluno_162,-31.343173,-54.127573
aluno_163,-31.333639,-54.123814
aluno_164,-31.329806,-54.092669
aluno_165,-31.310221,-54.086754
aluno_166,-31.321415,-54.098981
aluno_167,-31.34096,-54.117282
aluno_168,-31.348618,-54.089151
aluno_169,-31.341434,-54.122429
aluno_170,-31.326425,-54.127351
aluno_171,-31.343587,-54.085445
aluno_172,-31.331604,-54.099525
aluno_173,-31.325423,-54.099321
aluno_174,-31.336587,-54.105955
aluno_175,-31.3498,-54.12654
aluno_176,-31.343292,-54.090301
